libfftw3-double3	libc6 (>= 2.34), libgomp1 (>= 4.9)	
libfftw3-single3	libc6 (>= 2.34), libgomp1 (>= 4.9)	
libfido2-1	libc6 (>= 2.38), libcbor0.10 (>= 0.10.2), libssl3t64 (>= 3.0.0), libudev1 (>= 183), zlib1g (>= 1:1.1.4)	
libfile-basedir-perl	perl:any, libipc-system-simple-perl	
libfile-desktopentry-perl	perl:any, libfile-basedir-perl, liburi-perl	x-terminal-emulator
libfile-listing-perl	perl:any, libhttp-date-perl	
libfile-mimeinfo-perl	perl:any, libencode-locale-perl, libfile-basedir-perl, libfile-desktopentry-perl, shared-mime-info	libio-stringy-perl
libflac14	libc6 (>= 2.34), libogg0 (>= 1.1.0)	
libflite1	libasound2t64 (>= 1.0.16), libc6 (>= 2.38)	
libfont-afm-perl	perl:any	
libfontconfig1	libc6 (>= 2.38), libexpat1 (>= 2.0.1), libfreetype6 (>= 2.9.1), fontconfig-config (>= 2.17.1-5)	
libfontenc1	libc6 (>= 2.38), zlib1g (>= 1:1.1.4)	
libfreetype6	libbrotli1 (>= 0.6.0), libbz2-1.0, libc6 (>= 2.38), libpng16-16t64 (>= 1.6.46), zlib1g (>= 1:1.1.4)	
libfribidi0	libc6 (>= 2.4)	
libgbm1	mesa-libgallium (= 26.1.6-1), libc6 (>= 2.38), libdrm2 (>= 2.4.134-3~), libexpat1 (>= 2.0.1), libgcc-s1 (>= 3.4)	
libgc1	libc6 (>= 2.38), libstdc++6 (>= 4.1.1)	
libgcc-15-dev	gcc-15-base (= 15.3.0-2), libgcc-s1 (>= 15.3.0-2), libgomp1 (>= 15.3.0-2), libitm1 (>= 15.3.0-2), libatomic1 (>= 15.3.0-2), libasan8 (>= 15.3.0-2), liblsan0 (>= 15.3.0-2), libtsan2 (>= 15.3.0-2), libubsan1 (>= 15.3.0-2), libhwasan0 (>= 15.3.0-2), libquadmath0 (>= 15.3.0-2)	libc6-dev (>= 2.23-1~)
libgcc-s1	gcc-16-base (= 16.2.0-1), libc6 (>= 2.35)	
libgcrypt20	libc6 (>= 2.38), libgpg-error0 (>= 1.56)	
libgdbm-compat4t64	libc6 (>= 2.33), libgdbm6t64 (>= 1.16)	
libgdbm6t64	libc6 (>= 2.38)	
libgdk-pixbuf-2.0-0	glycin-thumbnailers (>= 2.0.8), libgdk-pixbuf2.0-common (>= 2.44.7+dfsg-1), shared-mime-info, libc6 (>= 2.34), libglib2.0-0t64 (>= 2.80.0), libglycin-2-0 (>= 2.0.8)	
libgdk-pixbuf2.0-common		
libgirepository-2.0-0	libc6 (>= 2.38), libffi8 (>= 3.4), libglib2.0-0t64 (= 2.89.3-5)	
libgit2-1.9	libc6 (>= 2.38), libgssapi-krb5-2 (>= 1.17), libllhttp9.4 (>= 9.3.0), libpcre2-8-0 (>= 10.22), libssh2-1t64 (>= 1.7.0), libssl3t64 (>= 3.0.0), zlib1g (>= 1:1.1.4)	
libgl1	libc6 (>= 2.34), libglvnd0 (= 1.7.0-3+b1), libglx0 (= 1.7.0-3+b1)	
libgl1-mesa-dri	libgbm1 (= 26.1.6-1), libvulkan1, libc6 (>= 2.34)	
libglib2.0-0t64	libatomic1 (>= 4.8), libc6 (>= 2.43), libffi8 (>= 3.4), libmount1 (>= 2.40), libpcre2-8-0 (>= 10.22), libselinux1 (>= 3.1~), zlib1g (>= 1:1.2.2)	libglib2.0-data, shared-mime-info, xdg-user-dirs
libglib2.0-data		
libglvnd0	libc6 (>= 2.38)	
